group,variable,value
05-15,2003,128
05-16,2003,115
05-17,2003,56
05-18,2003,111
05-19,2003,54
05-20,2003,97
05-21,2003,35
05-22,2003,53
05-23,2003,57
05-24,2003,66
05-25,2003,90
05-26,2003,90
05-27,2003,64
05-28,2003,105
05-29,2003,70
05-30,2003,106
05-31,2003,36
06-01,2003,44
06-02,2003,94
06-03,2003,90
06-04,2003,62
06-05,2003,61
06-06,2003,102
06-07,2003,105
06-08,2003,107
06-09,2003,48
06-10,2003,130
06-11,2003,77
06-12,2003,55
06-13,2003,57
06-14,2003,88
06-15,2003,53
06-16,2003,54
06-17,2003,83
06-18,2003,140
06-19,2003,35
06-20,2003,37
06-21,2003,49
06-22,2003,126
06-23,2003,195
06-24,2003,205
06-25,2003,219
06-26,2003,107
06-27,2003,58
06-28,2003,113
06-29,2003,60
06-30,2003,94
07-01,2003,90
07-02,2003,200
07-03,2003,210
07-04,2003,81
07-05,2003,61
07-06,2003,108
07-07,2003,64
07-08,2003,63
07-09,2003,62
07-10,2003,52
07-11,2003,47
07-12,2003,39
07-13,2003,90
07-14,2003,102
07-15,2003,102
07-16,2003,52
07-17,2003,122
07-18,2003,64
07-19,2003,80
07-20,2003,100
07-21,2003,54
07-22,2003,35
07-23,2003,30
07-24,2003,56
07-25,2003,129
07-26,2003,122
07-27,2003,74
07-28,2003,69
07-29,2003,134
07-30,2003,108
07-31,2003,161
08-01,2003,127
08-02,2003,108
08-03,2003,58
08-04,2003,94
08-05,2003,80
08-06,2003,49
08-07,2003,71
08-08,2003,55
08-09,2003,40
08-10,2003,38
08-11,2003,57
08-12,2003,61
08-13,2003,87
08-16,2003,87
08-17,2003,34
08-18,2003,64
08-19,2003,100
08-20,2003,161
08-21,2003,133
08-22,2003,61
08-23,2003,36
08-24,2003,97
08-25,2003,133
08-26,2003,105
08-27,2003,74
08-28,2003,72
08-29,2003,105
08-30,2003,67
08-31,2003,152
09-01,2003,35
09-02,2003,45
09-03,2003,121
09-04,2003,35
09-05,2003,47
09-06,2003,90
09-07,2003,112
09-08,2003,109
09-09,2003,154
09-10,2003,108
09-11,2003,80
09-12,2003,93
09-13,2003,72
09-14,2003,107
09-15,2003,45
09-16,2003,69
09-17,2003,104
09-18,2003,107
09-19,2003,45
09-20,2003,43
09-21,2003,61
09-22,2003,69
09-23,2003,36
09-24,2003,128
09-25,2003,120
09-26,2003,89
09-27,2003,47
09-28,2003,28
09-29,2003,30
09-30,2003,56
10-01,2003,36
10-02,2003,31
10-03,2003,84
10-04,2003,31
10-05,2003,36
10-06,2003,57
10-07,2003,102
10-08,2003,72
10-09,2003,130
10-10,2003,121
10-11,2003,114
10-12,2003,70
10-13,2003,105
10-14,2003,67
10-15,2003,34
10-16,2003,37
10-17,2003,48
10-18,2003,56
10-19,2003,55
10-20,2003,123
10-21,2003,47
10-22,2003,20
10-23,2003,32
10-24,2003,62
10-25,2003,61
10-26,2003,58
10-27,2003,50
10-28,2003,112
10-29,2003,53
10-30,2003,59
10-31,2003,112
11-01,2003,64
11-02,2003,92
11-03,2003,33
11-04,2003,102
11-05,2003,63
11-06,2003,65
11-07,2003,51
11-08,2003,44
11-09,2003,77
11-10,2003,130
11-11,2003,90
11-12,2003,89
11-13,2003,19
11-14,2003,60
11-15,2003,56
11-16,2003,81
11-17,2003,117
11-18,2003,66
11-19,2003,31
11-20,2003,92
11-21,2003,45
11-22,2003,66
11-23,2003,104
11-24,2003,99
11-25,2003,80
11-26,2003,86
11-27,2003,76
11-28,2003,62
11-29,2003,56
11-30,2003,50
12-01,2003,20
12-02,2003,38
12-03,2003,91
12-04,2003,69
12-05,2003,72
12-06,2003,58
12-07,2003,121
12-08,2003,98
12-09,2003,95
12-10,2003,83
